ItemName,Brand,Category,StockQty,ArrivalDate,ExpiryDate,DaysUntilExpiry,DailySaleAvg,SpoilageChance,SuggestedAction,StoreLocation,IsSpoiled,OnPromotion,TemperatureSensitive,StoreID,Zone,TemperatureSupport,DistanceToNearestStore,AvgDailySaleInNearbyStores
Fish fillet 300g,Freshcatch,Meat,37,2025-06-15,2025-06-18,3,4.2,1.0,donate,Mumbai,True,True,True,Mumbai_4,West,False,7.9,3.669707921238142
White bread,Harvest gold,Bakery,162,2025-06-26,2025-07-02,6,14.2,0.57,monitor,Bangalore,False,False,False,Bangalore_7,South,Not Recorded,5.5,12.600092038979565
Bingo mad angles,Itc,Snacks,289,2025-06-27,2025-07-07,10,13.2,0.49,none,Kanpur,False,False,False,Kanpur_9,North,Not Recorded,12.7,10.8573474923481
Mutton mince 250g,Godrej,Meat,271,2025-06-22,2025-07-04,12,8.9,1.0,donate,Delhi,False,False,True,Delhi_10,North,True,2.3,8.311994451510696
Amul milk 500ml,Amul,Dairy,11,2025-06-16,2025-06-28,12,14.1,0.31,none,Chennai,False,True,True,Chennai_9,South,Not Recorded,8.5,16.390997538160125
Nestlé yogurt 150g,Nestlé,Dairy,217,2025-06-16,2025-06-24,8,2.8,1.0,donate,Delhi,False,False,True,Delhi_11,North,True,14.9,2.616908010993007
Lays chips 100g,Pepsico,Snacks,165,2025-06-21,2025-06-24,3,13.4,1.0,donate,Chennai,True,True,False,Chennai_10,South,Not Recorded,13.1,13.44976881297342
Bingo mad angles,Itc,Snacks,26,2025-06-15,2025-06-24,9,13.7,0.76,discount,Kanpur,False,False,False,Kanpur_10,North,Not Recorded,8.1,12.961849562308917
Spinach bunch,Local farmer,Produce,115,2025-06-16,2025-06-23,7,22.4,1.0,donate,Kanpur,True,True,True,Kanpur_11,North,Not Recorded,13.4,22.221072305584546
Brown bun pack,Harvest gold,Bakery,42,2025-06-14,2025-06-17,3,24.3,0.69,monitor,Kanpur,False,True,False,Kanpur_12,North,Not Recorded,2.2,26.642722144997595
Mother dairy butter 100g,Mother dairy,Dairy,38,2025-06-18,2025-06-28,10,12.7,1.0,donate,Bangalore,True,False,True,Bangalore_8,South,Not Recorded,7.8,12.785956280752709
Kurkure masala,Pepsico,Snacks,148,2025-06-12,2025-06-19,7,0.6,1.0,donate,Delhi,True,False,False,Delhi_12,North,True,2.6,0.5083488890258426
Multigrain cookies,Sunfeast,Bakery,60,2025-06-25,2025-06-30,5,10.4,0.58,monitor,Kanpur,False,False,False,Kanpur_13,North,Not Recorded,8.4,9.98253092546004
Brown bun pack,Harvest gold,Bakery,90,2025-06-26,2025-07-08,12,22.4,0.08,none,Chennai,False,True,False,Chennai_11,South,Not Recorded,8.1,23.620404920821787
Mutton mince 250g,Godrej,Meat,271,2025-06-22,2025-07-04,12,8.9,1.0,donate,Delhi,False,False,True,Delhi_13,North,True,6.1,10.30982092360926
Mutton mince 250g,Godrej,Meat,295,2025-06-26,2025-07-03,7,24.6,0.48,none,Bangalore,False,False,True,Bangalore_9,South,Not Recorded,4.5,25.21630286082133
Mutton mince 250g,Godrej,Meat,265,2025-06-15,2025-06-19,4,1.7,1.0,donate,Delhi,True,True,True,Delhi_14,North,True,5.8,1.6182931314505011
Kurkure masala,Pepsico,Snacks,148,2025-06-12,2025-06-19,7,0.6,1.0,donate,Delhi,True,False,False,Delhi_15,North,True,7.0,0.5418861462103061
Brown bun pack,Harvest gold,Bakery,247,2025-06-25,2025-07-03,8,10.0,0.99,donate,Chennai,False,False,False,Chennai_12,South,Not Recorded,2.9,10.270561948039616
Kurkure masala,Pepsico,Snacks,283,2025-06-12,2025-06-15,3,12.9,1.0,donate,Chennai,True,False,False,Chennai_13,South,Not Recorded,12.5,11.378239723077362
Brown bun pack,Harvest gold,Bakery,32,2025-06-24,2025-06-27,3,21.3,0.6,monitor,Delhi,False,False,False,Delhi_16,North,True,14.9,19.37586535714822
Brown bun pack,Harvest gold,Bakery,32,2025-06-24,2025-06-27,3,21.3,0.6,monitor,Delhi,False,False,False,Delhi_17,North,True,6.0,23.97651286857272
Lays chips 100g,Pepsico,Snacks,116,2025-06-14,2025-06-22,8,7.0,1.0,donate,Kanpur,True,True,False,Kanpur_14,North,Not Recorded,2.9,5.999938443126327
Chicken breast 500g,Godrej,Meat,100,2025-06-26,2025-07-05,9,2.8,1.0,donate,Kanpur,True,True,True,Kanpur_15,North,Not Recorded,10.7,2.440977496682479
Fish fillet 300g,Freshcatch,Meat,37,2025-06-15,2025-06-18,3,4.2,1.0,donate,Mumbai,True,True,True,Mumbai_5,West,False,2.2,4.632835114944544
Lays chips 100g,Pepsico,Snacks,116,2025-06-14,2025-06-22,8,7.0,1.0,donate,Kanpur,True,True,False,Kanpur_16,North,Not Recorded,11.7,6.374635213367254
Nestlé yogurt 150g,Nestlé,Dairy,201,2025-06-23,2025-06-26,3,20.1,1.0,donate,Mumbai,False,True,True,Mumbai_6,West,False,5.0,19.36241314112598
Bingo mad angles,Itc,Snacks,63,2025-06-25,2025-07-02,7,14.9,0.21,none,Mumbai,False,False,False,Mumbai_7,West,False,12.9,12.211658230858292
Multigrain cookies,Sunfeast,Bakery,224,2025-06-18,2025-06-29,11,9.0,1.0,donate,Kanpur,True,False,False,Kanpur_17,North,Not Recorded,5.8,10.21187760000722
Lays chips 100g,Pepsico,Snacks,116,2025-06-14,2025-06-22,8,7.0,1.0,donate,Kanpur,True,True,False,Kanpur_18,North,Not Recorded,14.3,8.08786726529187
Amul milk 500ml,Amul,Dairy,11,2025-06-16,2025-06-28,12,14.1,0.31,none,Chennai,False,True,True,Chennai_14,South,Not Recorded,3.6,13.47911058697356
White bread,Harvest gold,Bakery,261,2025-06-25,2025-07-04,9,20.0,0.43,none,Bangalore,False,False,False,Bangalore_10,South,Not Recorded,2.1,18.723659710900108
Fish fillet 300g,Freshcatch,Meat,40,2025-06-21,2025-06-25,4,12.5,1.0,donate,Chennai,True,True,True,Chennai_15,South,Not Recorded,10.0,13.152453893814828
Multigrain cookies,Sunfeast,Bakery,224,2025-06-18,2025-06-29,11,9.0,1.0,donate,Kanpur,True,False,False,Kanpur_19,North,Not Recorded,4.1,10.505198533313992
Mutton mince 250g,Godrej,Meat,265,2025-06-15,2025-06-19,4,1.7,1.0,donate,Delhi,True,True,True,Delhi_18,North,True,12.5,2.0263337017272645
Spinach bunch,Local farmer,Produce,268,2025-06-16,2025-06-24,8,4.9,1.0,donate,Delhi,False,True,True,Delhi_19,North,True,13.9,5.123480003013667
Mother dairy butter 100g,Mother dairy,Dairy,220,2025-06-19,2025-06-23,4,13.7,1.0,donate,Kanpur,False,False,True,Kanpur_20,North,Not Recorded,14.9,13.282495525656303
Bingo mad angles,Itc,Snacks,63,2025-06-25,2025-07-02,7,14.9,0.21,none,Mumbai,False,False,False,Mumbai_8,West,False,7.6,12.187361634089305
Amul milk 500ml,Amul,Dairy,11,2025-06-16,2025-06-28,12,14.1,0.31,none,Chennai,False,True,True,Chennai_16,South,Not Recorded,13.3,14.462011272377628
Chicken breast 500g,Godrej,Meat,47,2025-06-19,2025-06-25,6,10.3,1.0,donate,Delhi,False,True,True,Delhi_20,North,True,11.3,12.354655675574234
Brown bun pack,Harvest gold,Bakery,42,2025-06-14,2025-06-17,3,24.3,0.69,monitor,Kanpur,False,True,False,Kanpur_21,North,Not Recorded,7.0,21.37123939017293
Mutton mince 250g,Godrej,Meat,96,2025-06-19,2025-07-01,12,22.0,0.29,none,Delhi,False,True,True,Delhi_21,North,True,14.5,22.22429238026684
Bingo mad angles,Itc,Snacks,289,2025-06-27,2025-07-07,10,13.2,0.49,none,Kanpur,False,False,False,Kanpur_22,North,Not Recorded,4.4,11.901207415708171
Kurkure masala,Pepsico,Snacks,224,2025-06-24,2025-07-06,12,3.6,1.0,donate,Bangalore,True,True,False,Bangalore_11,South,Not Recorded,4.9,3.232295424218532
Spinach bunch,Local farmer,Produce,253,2025-06-12,2025-06-15,3,12.6,1.0,donate,Kanpur,True,True,True,Kanpur_23,North,Not Recorded,9.1,13.459271894035728
Brown bun pack,Harvest gold,Bakery,90,2025-06-26,2025-07-08,12,22.4,0.08,none,Chennai,False,True,False,Chennai_17,South,Not Recorded,7.2,21.841969714487057
Bingo mad angles,Itc,Snacks,26,2025-06-15,2025-06-24,9,13.7,0.76,discount,Kanpur,False,False,False,Kanpur_24,North,Not Recorded,11.3,13.216134383084889
Amul milk 500ml,Amul,Dairy,11,2025-06-16,2025-06-28,12,14.1,0.31,none,Chennai,False,True,True,Chennai_18,South,Not Recorded,6.8,13.89741866423125
Nestlé yogurt 150g,Nestlé,Dairy,201,2025-06-23,2025-06-26,3,20.1,1.0,donate,Mumbai,False,True,True,Mumbai_9,West,False,13.7,22.75786321811597
Brown bun pack,Harvest gold,Bakery,39,2025-06-19,2025-06-30,11,10.3,0.38,none,Chennai,False,False,False,Chennai_19,South,Not Recorded,7.2,11.245337713915871
Lays chips 100g,Pepsico,Snacks,232,2025-06-23,2025-07-03,10,9.7,0.96,donate,Kanpur,False,False,False,Kanpur_25,North,Not Recorded,9.9,10.508048178652446
Mutton mince 250g,Godrej,Meat,265,2025-06-15,2025-06-19,4,1.7,1.0,donate,Delhi,True,True,True,Delhi_22,North,True,12.5,1.919567728107321
Amul milk 500ml,Amul,Dairy,12,2025-06-26,2025-06-30,4,4.6,0.26,none,Chennai,False,False,True,Chennai_20,South,Not Recorded,14.3,4.636375909755498
Kurkure masala,Pepsico,Snacks,148,2025-06-12,2025-06-19,7,0.6,1.0,donate,Delhi,True,False,False,Delhi_23,North,True,9.3,0.5482437834889199
Nestlé yogurt 150g,Nestlé,Dairy,267,2025-06-13,2025-06-16,3,21.8,1.0,donate,Bangalore,False,False,True,Bangalore_12,South,Not Recorded,7.2,22.32471749672883
Tomato 1kg,Local farmer,Produce,204,2025-06-18,2025-06-21,3,9.7,1.0,donate,Kanpur,False,True,True,Kanpur_26,North,Not Recorded,9.0,8.244037845131242
Chicken breast 500g,Godrej,Meat,47,2025-06-19,2025-06-25,6,10.3,1.0,donate,Delhi,False,True,True,Delhi_24,North,True,6.8,11.502856061971968
Kurkure masala,Pepsico,Snacks,59,2025-06-20,2025-06-23,3,12.2,1.0,donate,Chennai,True,True,False,Chennai_21,South,Not Recorded,13.1,12.484980536156511
Mother dairy butter 100g,Mother dairy,Dairy,38,2025-06-18,2025-06-28,10,12.7,1.0,donate,Bangalore,True,False,True,Bangalore_13,South,Not Recorded,3.9,14.362006955130177
Amul milk 500ml,Amul,Dairy,12,2025-06-26,2025-06-30,4,4.6,0.26,none,Chennai,False,False,True,Chennai_22,South,Not Recorded,10.2,5.134156827101357
Brown bun pack,Harvest gold,Bakery,222,2025-06-18,2025-06-22,4,23.4,1.0,donate,Mumbai,True,False,False,Mumbai_10,West,False,2.6,26.952747719811818
Multigrain cookies,Sunfeast,Bakery,224,2025-06-18,2025-06-29,11,9.0,1.0,donate,Kanpur,True,False,False,Kanpur_27,North,Not Recorded,6.3,9.010450801444533
Fish fillet 300g,Freshcatch,Meat,228,2025-06-23,2025-06-27,4,20.6,1.0,donate,Bangalore,True,False,True,Bangalore_14,South,Not Recorded,2.2,18.413361407489653
Kurkure masala,Pepsico,Snacks,224,2025-06-24,2025-07-06,12,3.6,1.0,donate,Bangalore,True,True,False,Bangalore_15,South,Not Recorded,2.3,3.093421931383636
Bingo mad angles,Itc,Snacks,26,2025-06-15,2025-06-24,9,13.7,0.76,discount,Kanpur,False,False,False,Kanpur_28,North,Not Recorded,6.5,12.682904385072469
Lays chips 100g,Pepsico,Snacks,232,2025-06-23,2025-07-03,10,9.7,0.96,donate,Kanpur,False,False,False,Kanpur_29,North,Not Recorded,6.0,8.908025722771482
Amul milk 500ml,Amul,Dairy,11,2025-06-16,2025-06-28,12,14.1,0.31,none,Chennai,False,True,True,Chennai_23,South,Not Recorded,6.6,13.860342051167274
Mutton mince 250g,Godrej,Meat,295,2025-06-26,2025-07-03,7,24.6,0.48,none,Bangalore,False,False,True,Bangalore_16,South,Not Recorded,6.3,20.166159122013624
Bingo mad angles,Itc,Snacks,26,2025-06-15,2025-06-24,9,13.7,0.76,discount,Kanpur,False,False,False,Kanpur_30,North,Not Recorded,10.6,15.962288650992871
Bingo mad angles,Itc,Snacks,60,2025-06-22,2025-07-03,11,21.6,0.11,none,Delhi,False,True,False,Delhi_25,North,True,11.7,21.406196309089346
Kurkure masala,Pepsico,Snacks,59,2025-06-20,2025-06-23,3,12.2,1.0,donate,Chennai,True,True,False,Chennai_24,South,Not Recorded,10.8,13.162922750062908
Spinach bunch,Local farmer,Produce,145,2025-06-15,2025-06-22,7,15.8,1.0,donate,Kanpur,True,False,True,Kanpur_31,North,Not Recorded,2.1,14.416310164098212
Chicken breast 500g,Godrej,Meat,100,2025-06-26,2025-07-05,9,2.8,1.0,donate,Kanpur,True,True,True,Kanpur_32,North,Not Recorded,9.0,2.3923402711384227
Mother dairy butter 100g,Mother dairy,Dairy,38,2025-06-18,2025-06-28,10,12.7,1.0,donate,Bangalore,True,False,True,Bangalore_17,South,Not Recorded,5.5,12.759736556997032
Fish fillet 300g,Freshcatch,Meat,37,2025-06-15,2025-06-18,3,4.2,1.0,donate,Mumbai,True,True,True,Mumbai_11,West,False,7.0,4.6464642259741336
Tomato 1kg,Local farmer,Produce,204,2025-06-18,2025-06-21,3,9.7,1.0,donate,Kanpur,False,True,True,Kanpur_33,North,Not Recorded,2.8,10.741726907279364
Multigrain cookies,Sunfeast,Bakery,224,2025-06-18,2025-06-29,11,9.0,1.0,donate,Kanpur,True,False,False,Kanpur_34,North,Not Recorded,11.3,9.213323677272925
Nestlé yogurt 150g,Nestlé,Dairy,262,2025-06-16,2025-06-20,4,2.0,1.0,donate,Delhi,True,False,True,Delhi_26,North,True,14.8,2.0956991224080253
Bingo mad angles,Itc,Snacks,289,2025-06-27,2025-07-07,10,13.2,0.49,none,Kanpur,False,False,False,Kanpur_35,North,Not Recorded,10.9,12.627603001687785
Tomato 1kg,Local farmer,Produce,204,2025-06-18,2025-06-21,3,9.7,1.0,donate,Kanpur,False,True,True,Kanpur_36,North,Not Recorded,2.7,7.993618184606953
Multigrain cookies,Sunfeast,Bakery,60,2025-06-25,2025-06-30,5,10.4,0.58,monitor,Kanpur,False,False,False,Kanpur_37,North,Not Recorded,7.0,8.802100373396888
Nestlé yogurt 150g,Nestlé,Dairy,267,2025-06-13,2025-06-16,3,21.8,1.0,donate,Bangalore,False,False,True,Bangalore_18,South,Not Recorded,12.0,20.602001128667425
Brown bun pack,Harvest gold,Bakery,222,2025-06-18,2025-06-22,4,23.4,1.0,donate,Mumbai,True,False,False,Mumbai_12,West,False,13.5,28.055176116730717
Amul milk 500ml,Amul,Dairy,11,2025-06-16,2025-06-28,12,14.1,0.31,none,Chennai,False,True,True,Chennai_25,South,Not Recorded,7.4,14.429563680939829
Fish fillet 300g,Freshcatch,Meat,206,2025-06-18,2025-06-29,11,17.1,1.0,donate,Bangalore,True,False,True,Bangalore_19,South,Not Recorded,7.6,19.01522912007285
Chicken breast 500g,Godrej,Meat,260,2025-06-25,2025-07-05,10,13.0,0.57,monitor,Delhi,False,True,True,Delhi_27,North,True,10.7,10.7416799081772
Chicken breast 500g,Godrej,Meat,100,2025-06-26,2025-07-05,9,2.8,1.0,donate,Kanpur,True,True,True,Kanpur_38,North,Not Recorded,9.5,2.2757395746719924
Kurkure masala,Pepsico,Snacks,59,2025-06-20,2025-06-23,3,12.2,1.0,donate,Chennai,True,True,False,Chennai_26,South,Not Recorded,13.8,14.062615978526711
Chicken breast 500g,Godrej,Meat,263,2025-06-19,2025-06-24,5,14.3,1.0,donate,Delhi,True,True,True,Delhi_28,North,True,2.4,15.847439076056627
Spinach bunch,Local farmer,Produce,115,2025-06-16,2025-06-23,7,22.4,1.0,donate,Kanpur,True,True,True,Kanpur_39,North,Not Recorded,4.5,19.29114541952609
Brown bun pack,Harvest gold,Bakery,90,2025-06-26,2025-07-08,12,22.4,0.08,none,Chennai,False,True,False,Chennai_27,South,Not Recorded,6.0,22.1217299779756
Mutton mince 250g,Godrej,Meat,295,2025-06-26,2025-07-03,7,24.6,0.48,none,Bangalore,False,False,True,Bangalore_20,South,Not Recorded,10.2,20.026615284641725
Kurkure masala,Pepsico,Snacks,59,2025-06-20,2025-06-23,3,12.2,1.0,donate,Chennai,True,True,False,Chennai_28,South,Not Recorded,3.9,10.362352461066893
Kurkure masala,Pepsico,Snacks,283,2025-06-12,2025-06-15,3,12.9,1.0,donate,Chennai,True,False,False,Chennai_29,South,Not Recorded,6.8,13.969919007215994
Fish fillet 300g,Freshcatch,Meat,37,2025-06-15,2025-06-18,3,4.2,1.0,donate,Mumbai,True,True,True,Mumbai_13,West,False,4.7,4.490401128412628
Mutton mince 250g,Godrej,Meat,265,2025-06-15,2025-06-19,4,1.7,1.0,donate,Delhi,True,True,True,Delhi_29,North,True,14.5,1.3959341513881651
Spinach bunch,Local farmer,Produce,253,2025-06-12,2025-06-15,3,12.6,1.0,donate,Kanpur,True,True,True,Kanpur_40,North,Not Recorded,5.3,14.543511428200455
Nestlé yogurt 150g,Nestlé,Dairy,217,2025-06-16,2025-06-24,8,2.8,1.0,donate,Delhi,False,False,True,Delhi_30,North,True,4.1,2.9112452589964097
Nestlé yogurt 150g,Nestlé,Dairy,267,2025-06-13,2025-06-16,3,21.8,1.0,donate,Bangalore,False,False,True,Bangalore_21,South,Not Recorded,3.4,21.81097293384916
Bingo mad angles,Itc,Snacks,26,2025-06-15,2025-06-24,9,13.7,0.76,discount,Kanpur,False,False,False,Kanpur_41,North,Not Recorded,4.8,11.884317134292465
Lays chips 100g,Pepsico,Snacks,116,2025-06-14,2025-06-22,8,7.0,1.0,donate,Kanpur,True,True,False,Kanpur_42,North,Not Recorded,13.4,7.044138071645772
Brown bun pack,Harvest gold,Bakery,222,2025-06-18,2025-06-22,4,23.4,1.0,donate,Mumbai,True,False,False,Mumbai_14,West,False,11.0,21.99009772489602
Chicken breast 500g,Godrej,Meat,47,2025-06-19,2025-06-25,6,10.3,1.0,donate,Delhi,False,True,True,Delhi_31,North,True,6.2,9.70245420339668
Nestlé yogurt 150g,Nestlé,Dairy,217,2025-06-16,2025-06-24,8,2.8,1.0,donate,Delhi,False,False,True,Delhi_32,North,True,6.7,2.5049774972086585
White bread,Harvest gold,Bakery,162,2025-06-26,2025-07-02,6,14.2,0.57,monitor,Bangalore,False,False,False,Bangalore_22,South,Not Recorded,2.6,11.889274821751078
Multigrain cookies,Sunfeast,Bakery,60,2025-06-25,2025-06-30,5,10.4,0.58,monitor,Kanpur,False,False,False,Kanpur_43,North,Not Recorded,2.5,10.238863490818952
Brown bun pack,Harvest gold,Bakery,90,2025-06-26,2025-07-08,12,22.4,0.08,none,Chennai,False,True,False,Chennai_30,South,Not Recorded,7.0,23.035786089339567
Nestlé yogurt 150g,Nestlé,Dairy,217,2025-06-16,2025-06-24,8,2.8,1.0,donate,Delhi,False,False,True,Delhi_33,North,True,3.7,2.5485089194796022
Bingo mad angles,Itc,Snacks,92,2025-06-20,2025-06-28,8,12.1,1.0,donate,Chennai,False,False,False,Chennai_31,South,Not Recorded,2.2,10.107821446394412
Chicken breast 500g,Godrej,Meat,47,2025-06-19,2025-06-25,6,10.3,1.0,donate,Delhi,False,True,True,Delhi_34,North,True,2.8,9.373530564809643
Lays chips 100g,Pepsico,Snacks,232,2025-06-23,2025-07-03,10,9.7,0.96,donate,Kanpur,False,False,False,Kanpur_44,North,Not Recorded,3.1,11.080239510630287
Amul milk 500ml,Amul,Dairy,12,2025-06-26,2025-06-30,4,4.6,0.26,none,Chennai,False,False,True,Chennai_32,South,Not Recorded,2.3,4.255563482929404
Lays chips 100g,Pepsico,Snacks,116,2025-06-14,2025-06-22,8,7.0,1.0,donate,Kanpur,True,True,False,Kanpur_45,North,Not Recorded,5.8,8.269674635607801
Bingo mad angles,Itc,Snacks,92,2025-06-20,2025-06-28,8,12.1,1.0,donate,Chennai,False,False,False,Chennai_33,South,Not Recorded,14.8,13.994454189529112
Amul milk 500ml,Amul,Dairy,11,2025-06-16,2025-06-28,12,14.1,0.31,none,Chennai,False,True,True,Chennai_34,South,Not Recorded,8.1,13.614357954235231
Mutton mince 250g,Godrej,Meat,295,2025-06-26,2025-07-03,7,24.6,0.48,none,Bangalore,False,False,True,Bangalore_23,South,Not Recorded,7.8,25.95818349732222
Lays chips 100g,Pepsico,Snacks,116,2025-06-14,2025-06-22,8,7.0,1.0,donate,Kanpur,True,True,False,Kanpur_46,North,Not Recorded,4.0,7.7106281302908
Brown bun pack,Harvest gold,Bakery,32,2025-06-24,2025-06-27,3,21.3,0.6,monitor,Delhi,False,False,False,Delhi_35,North,True,13.6,23.416833020590364
