transaction_id,customer_id,transaction_date,transaction_time,customer_age_group,customer_location_city,customer_location_state,zip_code,membership_tier,product_category,product_name,quantity,unit_price,total_amount,payment_method
TXN049611,CUST01157,2024-08-30,18:54,56+,San Francisco,CA,55758,Standard,Topicals,Bath Bomb 100mg,1,24.38,24.38,Digital Wallet
TXN058160,CUST00268,2025-07-11,14:18,18-25,Denver,CO,36292,Gold,Topicals,CBD Lotion 100mg,1,38.77,38.77,Debit Card
TXN074350,CUST00415,2025-10-10,10:13,,Los Angeles,CA,44701,Platinum,Topicals,CBD Lotion 100mg,2,40.33,80.65,Debit Card
TXN073180,CUST01170,2025-08-31,10:10,26-35,Seattle,WA,56215,Standard,Flower,Wedding Cake,1,45.26,45.26,Debit Card
TXN073860,CUST00636,2025-12-29,13:07,18-25,Tucson,AZ,15892,Silver,Accessories,Grinder,2,25.2,50.39,Credit Card
TXN000300,CUST00612,2024-07-07,20:10,46-55,Seattle,WA,71261,Silver,Concentrates,Distillate 1g,1,54.39,54.39,Digital Wallet
TXN067280,CUST00266,2024-10-07,10:16,26-35,Boulder,CO,18542,Silver,Flower,Gelato,1,43.22,43.22,Cash
TXN021090,CUST00043,2024-12-08,17:17,56+,Phoenix,AZ,32646,Gold,Vapes,Live Resin Cart 0.5g,1,43.36,43.36,Credit Card
TXN039171,CUST00184,2025-07-13,14:33,46-55,San Francisco,CA,98542,Silver,Concentrates,Live Resin 1g,2,49.45,98.91,Cash
TXN022292,CUST00708,2024-09-18,14:03,36-45,Portland,OR,20866,Platinum,Accessories,Rolling Papers,3,4.77,14.3,Cash
TXN056102,CUST00569,2025-09-25,12:43,36-45,Tucson,AZ,22238,Standard,Vapes,Live Resin Cart 0.5g,1,44.89,44.89,Credit Card
TXN012940,CUST00070,2025-04-05,19:51,26-35,San Francisco,CA,36885,Silver,Concentrates,Shatter 1g,1,45.75,45.75,Digital Wallet
TXN066770,CUST01073,2026-01-02,14:22,46-55,Seattle,WA,38140,Standard,Topicals,CBD Lotion 100mg,1,39.23,39.23,Credit Card
TXN065581,CUST01112,2025-02-20,20:08,46-55,Boulder,CO,10825,Standard,Flower,Sour Diesel,1,36.49,36.49,Digital Wallet
TXN033302,CUST00421,2024-11-28,20:26,36-45,Boulder,CO,47980,Standard,Vapes,Indica Cart 0.5g,2,35.76,71.52,Credit Card
TXN010150,CUST00247,2025-04-26,09:24,56+,Portland,OR,33991,Silver,Accessories,Grinder,1,26.15,26.15,Digital Wallet
TXN012110,CUST00485,2025-01-28,17:58,46-55,Portland,OR,,Silver,Edibles,Mints 50mg,3,14.7,44.1,Credit Card
TXN011130,CUST00419,2026-01-20,19:00,56+,Portland,OR,18967,Silver,Concentrates,Shatter 1g,3,43.6,130.8,Cash
TXN053491,CUST00149,2024-08-15,13:27,56+,Las Vegas,NV,85104,Standard,Concentrates,Distillate 1g,1,56.27,56.27,Digital Wallet
TXN057210,CUST00122,2025-09-10,14:17,36-45,Las Vegas,NV,76816,Platinum,Vapes,Sativa Cart 0.5g,2,33.48,66.96,Cash
TXN021210,CUST00453,2026-01-02,14:47,26-35,San Diego,CA,24851,Standard,Flower,Blue Dream,1,33.29,33.29,Cash
TXN074710,CUST00596,2024-08-15,11:43,46-55,Seattle,WA,96218,Gold,Topicals,Bath Bomb 100mg,1,24.54,24.54,Cash
TXN018980,CUST01067,2026-01-23,20:02,36-45,Las Vegas,NV,64284,Gold,Edibles,Chocolate Bar 100mg,1,21.07,21.07,Cash
TXN071410,CUST00187,2024-10-01,20:52,46-55,Tucson,AZ,43368,,Edibles,Gummy Bears 100mg,1,24.51,24.51,Digital Wallet
TXN046230,CUST00453,2024-12-28,11:40,36-45,Seattle,WA,91235,Standard,Edibles,Hard Candy 100mg,1,19.29,19.29,Cash
TXN062200,CUST00053,2025-04-11,13:37,36-45,Tucson,AZ,51393,Platinum,Accessories,Glass Pipe,1,29.49,29.49,Digital Wallet
TXN050580,CUST01171,2025-04-26,14:30,36-45,San Diego,CA,66086,,Flower,Pineapple Express,2,37.3,74.61,Digital Wallet
TXN046050,CUST00247,2025-07-08,11:20,26-35,Los Angeles,CA,75759,Gold,Concentrates,Rosin 1g,2,62.68,125.35,Cash
TXN051450,CUST00446,2025-11-21,13:15,46-55,San Francisco,CA,18992,Platinum,Accessories,Glass Pipe,1,29.07,29.07,Cash
TXN030540,CUST00503,2025-04-08,16:39,36-45,San Francisco,CA,38889,Silver,Accessories,Grinder,1,24.89,24.89,Digital Wallet
TXN068541,CUST00478,2025-08-25,10:58,46-55,Denver,CO,59513,Platinum,Accessories,Rolling Papers,3,5.18,15.55,Cash
TXN044550,CUST00060,2025-04-25,09:27,26-35,Boulder,CO,63456,Gold,Concentrates,Distillate 1g,1,56.46,56.46,Debit Card
TXN053210,CUST01175,2024-12-11,13:31,36-45,San Francisco,CA,45379,Gold,Vapes,Indica Cart 0.5g,1,34.84,34.84,Cash
TXN050901,CUST00618,2024-09-25,14:19,56+,Denver,CO,38442,Platinum,Edibles,Hard Candy 100mg,1,19.56,19.56,Credit Card
TXN032171,CUST00015,2024-07-24,12:58,46-55,Los Angeles,CA,78612,Platinum,Topicals,Bath Bomb 100mg,1,24.36,24.36,Credit Card
TXN051390,CUST00585,2025-12-06,14:29,18-25,Portland,OR,88002,Standard,Topicals,CBD Lotion 100mg,1,41.73,41.73,Digital Wallet
TXN044660,CUST01090,2025-04-29,12:35,46-55,San Francisco,CA,31127,Silver,Vapes,Disposable Vape,1,29.96,29.96,Digital Wallet
TXN014620,CUST01148,2025-11-20,18:30,36-45,Seattle,WA,,Gold,Edibles,Brownies 100mg,3,20.47,61.4,Cash
TXN037970,CUST00448,2025-10-30,12:40,18-25,San Diego,CA,77598,Gold,Edibles,Hard Candy 100mg,1,19.91,19.91,Credit Card
TXN069340,CUST00586,2025-10-17,18:25,56+,Denver,CO,91703,Standard,Flower,Girl Scout Cookies,1,41.27,41.27,Credit Card
TXN007441,CUST00089,2024-07-04,17:51,56+,Las Vegas,NV,76077,Silver,Topicals,CBD Lotion 100mg,1,38.24,38.24,Debit Card
TXN026650,CUST01115,2025-08-21,09:09,36-45,San Diego,CA,59892,Standard,Topicals,CBD Lotion 100mg,1,38.82,38.82,Credit Card
TXN056201,CUST00147,2025-01-25,20:35,36-45,San Francisco,CA,67391,Standard,Concentrates,Live Resin 1g,1,49.87,49.87,Digital Wallet
TXN040270,CUST00078,2025-10-12,12:23,56+,Seattle,WA,62790,Platinum,Flower,Wedding Cake,1,42.87,42.87,Debit Card
TXN035031,CUST00950,2025-02-01,20:49,18-25,San Francisco,CA,63719,Standard,Vapes,Indica Cart 0.5g,2,33.46,66.91,Debit Card
TXN007262,CUST00172,2025-08-20,17:41,46-55,Las Vegas,NV,69286,Platinum,Concentrates,Wax 1g,1,46.28,46.28,Credit Card
TXN048571,CUST00229,2025-05-20,10:21,36-45,Phoenix,AZ,16266,Silver,Flower,Gelato,1,44.63,44.63,Digital Wallet
TXN079570,CUST00851,2024-10-17,15:00,36-45,Tucson,AZ,,Standard,Vapes,Sativa Cart 0.5g,1,35.16,35.16,Debit Card
TXN020060,CUST00705,2024-07-01,18:26,18-25,Tucson,AZ,74109,Gold,Concentrates,Distillate 1g,2,56.86,113.73,Debit Card
TXN068020,CUST00013,2025-05-07,15:08,46-55,Phoenix,AZ,82947,Gold,Topicals,CBD Lotion 100mg,1,38.34,38.34,Debit Card
TXN055860,CUST00531,2025-12-19,13:57,46-55,Denver,CO,12812,Platinum,Edibles,Brownies 100mg,1,20.63,20.63,Digital Wallet
TXN016290,CUST00221,2025-03-16,14:51,18-25,San Diego,CA,28881,Gold,Vapes,Sativa Cart 0.5g,1,35.12,35.12,Cash
TXN037080,CUST00279,2025-12-16,11:36,56+,Los Angeles,CA,43062,Silver,Topicals,Massage Oil 200mg,1,43.88,43.88,Debit Card
TXN040931,CUST00105,2024-12-22,15:00,56+,Tucson,AZ,68591,Platinum,Accessories,Rolling Papers,3,5.17,15.51,Digital Wallet
TXN062401,CUST01180,2025-10-28,19:33,18-25,Los Angeles,CA,90947,Silver,Topicals,Bath Bomb 100mg,1,24.22,24.22,Debit Card
TXN011950,CUST00208,2024-11-09,18:37,18-25,Seattle,WA,88750,Platinum,Topicals,Massage Oil 200mg,1,46.77,46.77,Digital Wallet
TXN057232,CUST00883,2024-10-24,15:57,46-55,San Diego,CA,62259,Platinum,Vapes,Hybrid Cart 0.5g,1,35.0,35.0,Debit Card
TXN062521,CUST00303,2025-12-06,15:55,26-35,Denver,CO,74026,Gold,Topicals,CBD Lotion 100mg,1,41.85,41.85,Digital Wallet
TXN002580,CUST00718,2025-09-18,20:38,56+,Boulder,CO,30315,Standard,Edibles,Gummy Bears 100mg,3,25.2,75.61,Digital Wallet
TXN036272,CUST00075,2025-12-07,18:53,46-55,Los Angeles,CA,96976,Platinum,Accessories,Glass Pipe,2,29.87,59.74,Cash
TXN043840,CUST01035,2025-01-18,10:22,56+,Denver,CO,70613,Silver,Topicals,Bath Bomb 100mg,2,24.32,48.63,Debit Card
TXN036700,CUST00827,2025-04-16,14:07,18-25,San Diego,CA,59194,Standard,Concentrates,Live Resin 1g,1,51.43,51.43,Cash
TXN057110,CUST00693,2025-08-24,19:02,56+,Denver,CO,81003,Silver,Concentrates,Shatter 1g,1,46.48,46.48,Credit Card
TXN029000,CUST00081,2024-10-08,18:53,56+,Phoenix,AZ,34434,Gold,Concentrates,Rosin 1g,2,58.44,116.88,Credit Card
TXN016061,CUST00597,2024-08-08,10:24,18-25,Los Angeles,CA,33897,Gold,Flower,Gelato,1,43.89,43.89,Debit Card
TXN005441,CUST00696,2025-04-28,15:56,56+,Seattle,WA,68478,Platinum,Topicals,Bath Bomb 100mg,1,24.26,24.26,Digital Wallet
TXN020450,CUST01141,2025-03-27,17:43,18-25,Phoenix,AZ,86759,Standard,Topicals,THC Balm 200mg,1,33.79,33.79,Debit Card
TXN024732,CUST00393,2025-11-08,12:50,36-45,Seattle,WA,25697,Silver,Accessories,Grinder,1,24.61,24.61,Cash
TXN017560,CUST00399,2025-04-27,16:42,36-45,Seattle,WA,65613,Gold,Flower,Sour Diesel,1,36.67,36.67,Digital Wallet
TXN056861,CUST01051,2024-08-30,14:01,,Los Angeles,California,36846,Platinum,Flower,Pineapple Express,1,37.01,37.01,Credit Card
TXN053100,CUST00623,2024-09-12,10:26,46-55,Las Vegas,NV,89718,Gold,Vapes,Live Resin Cart 0.5g,1,44.61,44.61,Credit Card
TXN052081,CUST00429,2025-06-04,15:43,18-25,Boulder,CO,94451,Platinum,Topicals,Bath Bomb 100mg,2,25.67,51.33,Debit Card
TXN061300,CUST00831,2025-02-19,19:17,46-55,Los Angeles,CA,45999,Gold,Flower,OG Kush,1,40.06,40.06,Debit Card
TXN052412,CUST00871,2024-07-07,17:15,46-55,Seattle,WA,10191,Standard,Edibles,Brownies 100mg,1,20.91,20.91,Cash
TXN035760,CUST00923,2024-07-18,14:53,26-35,Portland,OR,94457,Gold,Concentrates,Shatter 1g,1,43.5,43.5,Cash
TXN042130,CUST00586,2024-10-20,17:06,36-45,Tucson,AZ,89055,Silver,Concentrates,Live Resin 1g,1,51.57,51.57,Digital Wallet
TXN075680,CUST00658,2024-12-18,17:16,18-25,Tucson,AZ,90934,Gold,Edibles,Cookies 50mg,1,17.73,17.73,Debit Card
TXN059541,CUST01199,2025-11-04,13:46,46-55,Las Vegas,NV,65652,Silver,Accessories,Rolling Papers,1,5.13,5.13,Digital Wallet
TXN065051,CUST00201,2024-08-25,19:44,,Los Angeles,California,64616,Silver,Edibles,Brownies 100mg,1,19.31,19.31,Digital Wallet
TXN055180,CUST00477,2025-02-08,11:22,46-55,San Francisco,CA,52091,Standard,Edibles,Chocolate Bar 100mg,1,22.08,22.08,Debit Card
TXN017890,CUST00796,2025-04-01,12:42,46-55,Seattle,WA,95187,Standard,Flower,Sour Diesel,2,38.29,76.58,Debit Card
TXN051310,CUST01032,06-08-2024,16:04,36-45,San Francisco,CA,75209,Platinum,Accessories,Lighter,1,3.1,3.1,Cash
TXN001520,CUST00485,2025-02-08,12:35,18-25,San Diego,CA,88774,Platinum,Vapes,Hybrid Cart 0.5g,1,34.12,34.12,Credit Card
TXN016401,CUST00060,2025-10-17,13:40,26-35,Denver,CO,93007,Standard,Vapes,Sativa Cart 0.5g,1,34.05,34.05,Debit Card
TXN061742,CUST00470,2025-10-11,15:20,36-45,Seattle,WA,56702,Standard,Concentrates,Distillate 1g,2,55.88,111.76,Cash
TXN079000,CUST00073,12/15/2025,19:53,56+,Boulder,CO,18463,Platinum,Concentrates,Live Resin 1g,1,49.91,49.91,Digital Wallet
TXN037301,CUST01139,2025-02-10,10:14,56+,Denver,CO,51536,Gold,Vapes,Sativa Cart 0.5g,2,36.29,72.58,Cash
TXN027042,CUST00172,2025-07-20,15:47,56+,San Diego,CA,26407,Gold,Accessories,Storage Container,1,15.7,15.7,Debit Card
TXN052860,CUST00600,2025-12-22,18:02,,San Diego,CA,61294,Gold,Accessories,Lighter,1,2.93,2.93,Digital Wallet
TXN013221,CUST00650,2025-07-27,09:11,46-55,Los Angeles,CA,29821,,Flower,Granddaddy Purple,1,39.66,39.66,Cash
TXN066572,CUST00053,2025-10-22,20:17,56+,Portland,OR,19773,Platinum,Accessories,Rolling Papers,1,5.16,5.16,Debit Card
TXN011361,CUST01031,2024-07-10,12:01,56+,LA,CA,,Gold,Topicals,THC Balm 200mg,1,36.24,36.24,Credit Card
TXN043510,CUST00788,2025-02-02,16:29,18-25,Seattle,WA,32448,Gold,Accessories,Rolling Papers,1,4.84,4.84,Credit Card
TXN000901,CUST00764,2024-09-19,09:05,36-45,Phoenix,AZ,15958,Silver,Accessories,Storage Container,1,15.64,15.64,Credit Card
TXN053400,CUST00998,2024-08-14,13:52,56+,San Diego,California,79164,Gold,Concentrates,Wax 1g,1,47.51,47.51,Debit Card
TXN042891,CUST00656,2024-10-24,16:32,26-35,Tucson,AZ,34656,Standard,Edibles,Hard Candy 100mg,1,20.13,20.13,Credit Card
TXN046560,CUST00940,2025-04-09,17:58,56+,Los Angeles,CA,10681,Platinum,Concentrates,Wax 1g,1,47.57,47.57,Cash
TXN068551,CUST00093,2025-08-16,14:54,56+,Los Angeles,CA,15014,Silver,Vapes,Disposable Vape,1,31.18,31.18,Cash
TXN079532,CUST01058,2024-12-20,17:45,18-25,Boulder,CO,79074,Silver,Topicals,Massage Oil 200mg,2,46.14,92.28,Credit Card
TXN074973,CUST00288,2025-11-21,17:20,56+,Phoenix,AZ,29614,Standard,Edibles,Mints 50mg,1,15.6,15.6,Debit Card
TXN069300,CUST00887,2025-07-30,10:57,26-35,Denver,CO,,Gold,Concentrates,Wax 1g,3,50.37,151.11,Digital Wallet
TXN007790,CUST00941,2025-04-04,09:04,36-45,Phoenix,AZ,34763,Silver,Flower,Granddaddy Purple,1,37.53,37.53,Digital Wallet
TXN045811,CUST00173,2025-07-25,16:50,46-55,Los Angeles,CA,80187,Silver,Accessories,Rolling Papers,1,4.82,4.82,Credit Card
TXN055032,CUST00450,2024-10-21,16:32,46-55,San Francisco,CA,80532,Silver,Concentrates,Distillate 1g,1,53.76,53.76,Credit Card
TXN046460,CUST00616,2025-05-31,12:14,26-35,Seattle,WA,83225,Standard,Concentrates,Distillate 1g,1,55.55,55.55,Debit Card
TXN007570,CUST00246,2025-05-01,16:11,26-35,Boulder,CO,11880,Gold,Edibles,Gummy Bears 100mg,2,25.61,51.22,Credit Card
TXN068050,CUST01146,2025-04-26,09:20,36-45,Seattle,WA,99165,Gold,Flower,Wedding Cake,1,44.05,44.05,Cash
TXN059701,CUST00582,2024-09-04,19:44,56+,Los Angeles,CA,40455,Standard,Vapes,Hybrid Cart 0.5g,1,33.56,33.56,Cash
TXN069660,CUST00457,2025-10-31,10:58,46-55,Phoenix,AZ,30119,Silver,Edibles,Cookies 50mg,1,17.39,17.39,Cash
TXN064501,CUST00447,2025-03-08,17:44,26-35,Seattle,WA,48276,Platinum,Topicals,Massage Oil 200mg,1,45.4,45.4,Digital Wallet
TXN079371,CUST00427,2025-02-16,19:22,46-55,Portland,OR,23081,Gold,Vapes,Indica Cart 0.5g,2,36.23,72.45,Digital Wallet
TXN018950,CUST00284,2025-02-02,10:23,36-45,Los Angeles,CA,97392,Gold,Concentrates,Wax 1g,1,50.03,50.03,Digital Wallet
TXN063870,CUST00664,2024-07-09,13:45,18-25,San Francisco,ca,17188,Gold,Concentrates,Rosin 1g,1,57.93,57.93,Cash
TXN041611,CUST00963,2025-07-05,12:40,,Los Angeles,CA,70502,Standard,Concentrates,Distillate 1g,1,57.55,57.55,Credit Card
TXN039580,CUST01144,2025-04-21,12:10,46-55,Boulder,CO,85774,Platinum,Flower,Gelato,1,45.07,45.07,Cash
TXN041000,CUST00411,2025-10-01,17:53,26-35,Los Angeles,CA,85892,Platinum,Accessories,Glass Pipe,1,31.48,31.48,Credit Card
TXN028280,CUST00108,2025-05-13,10:13,56+,Boulder,CO,11323,Standard,Accessories,Lighter,1,2.9,2.9,Credit Card
TXN005262,CUST00616,2025-01-23,14:26,36-45,Denver,CO,76005,Standard,Vapes,Hybrid Cart 0.5g,3,35.71,107.13,Credit Card
TXN024990,CUST01096,2025-11-13,13:57,18-25,Portland,OR,88541,Platinum,Topicals,CBD Lotion 100mg,1,39.58,39.58,Cash
TXN007110,CUST00480,2025-01-01,16:07,46-55,San Francisco,CA,97648,Silver,Topicals,Bath Bomb 100mg,2,26.07,52.14,Digital Wallet
TXN061541,CUST00736,2025-04-05,20:08,36-45,Boulder,CO,81754,Gold,Concentrates,Wax 1g,1,46.71,46.71,Credit Card
TXN019330,CUST00297,2025-01-04,09:44,26-35,Los Angeles,CA,10747,Standard,Vapes,Live Resin Cart 0.5g,1,44.54,44.54,Credit Card
TXN014831,CUST00319,2025-02-16,14:35,46-55,Tucson,AZ,,Platinum,Accessories,Grinder,2,25.69,51.37,Digital Wallet
TXN038970,CUST00060,2025-05-26,10:31,26-35,San Diego,CA,87109,Silver,Flower,Granddaddy Purple,1,39.54,39.54,Cash
TXN067863,CUST01067,2025-12-05,12:33,26-35,Boulder,CO,39656,Standard,Concentrates,Rosin 1g,1,58.81,58.81,Cash
TXN012101,CUST00293,2025-03-02,13:44,46-55,Phoenix,AZ,67321,Gold,Edibles,Mints 50mg,1,14.39,14.39,Digital Wallet
TXN067172,CUST00060,2025-05-28,11:20,36-45,San Diego,CA,,Standard,Accessories,Grinder,1,23.77,23.77,Digital Wallet
TXN061180,CUST00584,2024-08-15,11:53,56+,San Diego,CA,,Gold,Topicals,Bath Bomb 100mg,1,24.99,24.99,Debit Card
TXN005390,CUST00254,2025-01-14,17:10,56+,Los Angeles,CA,67331,Platinum,Accessories,Lighter,3,2.9,8.71,Cash
TXN030611,CUST00875,2025-10-06,20:03,26-35,San Francisco,CA,94676,Silver,Edibles,Gummy Bears 100mg,1,25.69,25.69,Credit Card
TXN031602,CUST00050,2025-10-28,12:05,56+,Boulder,CO,62128,Platinum,Flower,Blue Dream,1,35.34,35.34,Cash
TXN023880,CUST00494,2025-10-09,13:43,36-45,Boulder,CO,37545,Standard,Topicals,THC Balm 200mg,1,35.04,35.04,Credit Card
TXN072171,CUST00597,2024-07-28,13:12,26-35,Seattle,WA,38063,Silver,Flower,OG Kush,1,39.55,39.55,Digital Wallet
TXN025362,CUST01115,2024-11-11,09:57,18-25,Tucson,AZ,84713,Platinum,Topicals,Bath Bomb 100mg,1,24.26,24.26,Digital Wallet
TXN012160,CUST00107,2025-06-04,20:33,26-35,Seattle,WA,94026,Standard,Edibles,Brownies 100mg,2,19.74,39.48,Debit Card
TXN046860,CUST00868,2025-01-29,10:33,18-25,Seattle,WA,72704,,Topicals,CBD Lotion 100mg,1,41.39,41.39,Digital Wallet
TXN062101,CUST01019,2025-09-08,10:45,26-35,los angeles,CA,93620,Platinum,Edibles,Brownies 100mg,2,20.53,41.07,Digital Wallet
TXN050121,CUST00097,2025-08-19,09:00,56+,Seattle,WA,84308,Silver,Vapes,Live Resin Cart 0.5g,1,43.96,43.96,Digital Wallet
TXN074820,CUST00195,2025-02-14,20:52,56+,Phoenix,AZ,32189,Standard,Topicals,THC Balm 200mg,1,33.81,33.81,Credit Card
TXN059261,CUST00462,23-04-2025,13:19,56+,Phoenix,AZ,54411,Standard,Accessories,Glass Pipe,1,28.68,28.68,Cash
TXN017540,CUST01003,2025-07-26,16:11,46-55,Seattle,WA,66668,Silver,Topicals,Massage Oil 200mg,1,46.35,46.35,Debit Card
TXN015781,CUST00088,2025-06-18,13:46,46-55,Tucson,AZ,69171,Platinum,Vapes,Disposable Vape,1,29.54,29.54,Debit Card
TXN050250,CUST00864,2026-01-23,10:15,36-45,Boulder,CO,74154,Silver,Vapes,Indica Cart 0.5g,1,35.2,35.2,Credit Card
TXN064651,CUST00758,2025-08-17,15:13,26-35,Los Angeles,CA,72989,Standard,Concentrates,Live Resin 1g,1,50.96,50.96,Cash
TXN001482,CUST00719,2024-08-19,09:25,18-25,Las Vegas,NV,91999,Standard,Concentrates,Live Resin 1g,1,52.02,52.02,Debit Card
TXN072840,CUST00289,2025-10-07,16:33,26-35,San Francisco,CA,90191,Standard,Edibles,Chocolate Bar 100mg,1,21.45,21.45,Digital Wallet
TXN015720,CUST00820,2024-09-03,15:32,18-25,Denver,CO,34808,Silver,Concentrates,Live Resin 1g,1,49.68,49.68,Debit Card
TXN031980,CUST00259,2025-11-25,14:27,18-25,Los Angeles,CA,86660,Platinum,Accessories,Storage Container,1,14.88,14.88,Credit Card
TXN024700,CUST00098,2024-07-05,11:47,46-55,Phoenix,AZ,91234,Gold,Concentrates,Distillate 1g,1,53.82,53.82,Cash
TXN021180,CUST01147,2026-01-29,09:36,36-45,San Francisco,ca,79813,Gold,Vapes,Live Resin Cart 0.5g,1,47.12,47.12,Digital Wallet
TXN008180,CUST00932,2025-06-16,10:51,26-35,Phoenix,AZ,77163,Platinum,Accessories,Glass Pipe,1,31.06,31.06,Digital Wallet
TXN030651,CUST00616,2025-04-15,16:46,26-35,Las Vegas,NV,73368,Standard,Concentrates,Rosin 1g,1,58.06,58.06,Debit Card
TXN078490,CUST00916,2024-10-05,10:09,56+,Portland,OR,26479,Silver,Flower,Pineapple Express,2,36.34,72.67,Credit Card
TXN034340,CUST00799,2025-09-15,17:22,56+,Denver,CO,79218,Silver,Flower,Granddaddy Purple,1,38.51,38.51,Digital Wallet
